sampleplotid,x,y,measurementdate,g,d,h,v,v.ma,v.ku,v.lp,myear,filename.1,a.date.1,a.window.1,filename.2,a.date.2,a.window.2,v.lp.proc
907188,379091.83,6914252.71,2013,18.6,11.1,9.6,94.22,60.52,17.07,16.63,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4231H3.laz,2013-07-14,C,NA,NA,NA,18
907191,382390.57,6913249.97,2013,24.2,20.5,18.3,204.11,0.49,28.75,174.87,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233B1.laz,2013-07-14,C,NA,NA,NA,86
907192,382386.57,6913496.42,2013,25,24.6,16.6,189.19,53.27,50.15,85.77,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233B1.laz,2013-07-14,C,NA,NA,NA,45
907194,382408.84,6914013.57,2013,30.5,14.5,13.3,203.61,192.18,4.83,6.59,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233B1.laz,2013-07-14,C,NA,NA,NA,3
907197,383136.7,6914242.84,2013,25.5,17.6,15.2,191.28,165.57,19.13,6.58,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233B3.laz,2013-07-14,C,NA,NA,NA,3
907203,386691.48,6913745.07,2013,21.5,21.7,17.4,176.1,98.19,38.76,39.15,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233D1.laz,2013-07-14,C,NA,NA,NA,22
907205,386938.41,6914252.14,2013,33,32.4,22,334.9,334.9,0,0,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233D1.laz,2013-07-14,C,NA,NA,NA,0
907207,387435.68,6914255.46,2013,15.1,17,15.7,117.16,109.32,3.73,4.11,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233D1.laz,2013-07-14,C,NA,NA,NA,4
907208,387695.14,6914245.8,2013,32.4,22.2,17.7,271.49,4.82,251.58,15.1,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233D1.laz,2013-07-14,C,NA,NA,NA,6
907211,390987.86,6913246.12,2013,10,13.4,11.9,59.61,4.24,41.88,13.48,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233D3.laz,2013-07-14,C,NA,NA,NA,23
907214,390989.33,6913997.12,2013,24,22.2,19,219.16,92.74,125.27,1.15,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233D3.laz,2013-07-14,C,NA,NA,NA,1
907215,391233.96,6914254.46,2013,18.1,18.1,16,140.21,64.63,2.67,72.91,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233D3.laz,2013-07-14,C,NA,NA,NA,52
